Judul,Link
Siapa Calon Pendampingnya di Pilkada Surabaya? Ini Kata Dhimam Abror,http://news.detik.com/berita/2987456/siapa-calon-pendampingnya-di-pilkada-surabaya-ini-kata-dhimam-abror
"Risma Belum Juga Punya Lawan, PDIP Minta Pemerintah Siapkan Terobosan",http://news.detik.com/berita/2987442/lagi-calon-dari-pdip-terancam-tak-punya-lawan-di-pilkada
"Lagi, Calon dari PDIP Terancam Tak Punya Lawan di Pilkada",http://news.detik.com/berita/2987442/lagi-calon-dari-pdip-terancam-tak-punya-lawan-di-pilkada
"Menangkan Rasiyo-Abror, PD Ajukan SBY Jadi Jurkam di Pilkada Surabaya",http://news.detik.com/berita/2990135/menangkan-rasiyo-abror-pd-ajukan-sby-jadi-jurkam-di-pilkada-surabaya
"Pilkada Surabaya, Dhimam Abror Siap Diborgol saat Daftar ke KPU",http://news.detik.com/berita/2988221/pilkada-surabaya-dhimam-abror-siap-diborgol-saat-daftar-ke-kpu
Pasangan Calon Pilkada Surabaya dan Pacitan Jalani Tes Kesehatan,http://news.detik.com/jawatimur/2989892/pasangan-calon-pilkada-surabaya-dan-pacitan-jalani-tes-kesehatan
"Rasiyo-Abror Siap Lawan Risma-Whisnu, Pakde Karwo: Kita Tarung",http://news.detik.com/jawatengah/2990167/rasiyo-abror-siap-lawan-risma-whisnu-pakde-karwo-kita-tarung
KPU: Berkas Dua Bakal Calon Pilkada Surabaya Belum Lengkap,http://news.detik.com/berita/2995032/kpu-berkas-dua-bakal-calon-pilkada-surabaya-belum-lengkap
Apa Kabar Surat Rekomendasi Asli untuk Rasiyo-Dhimam Abror?,http://news.detik.com/berita-jawa-timur/2993293/apa-kabar-surat-rekomendasi-asli-untuk-rasiyo-dhimam-abror
"Usung Rasiyo-Lucy, Demokrat-PAN Akan Cabut Gugatan di Panwaslu Surabaya",http://news.detik.com/berita/3010730/usung-rasiyo-lucy-demokrat-pan-akan-cabut-gugatan-di-panwaslu-surabaya
